date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:38:00	51419/51419	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2009:47:12%20GMT	http://galerisurautanahwakaf.blogspot.com/2015/01/biodata-ustaz-abdullah-khairy-bin-hj.html?m=1	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Galeri%20surau%20tanah%20waqaf/galerisurautanahwakaf.blogspot.com/2015/01/biodata-ustaz-abdullah-khairy-bin-hj40aa.html	(from )
11:38:01	132/132	---M-Z	200	added ('OK')	text/plain	date:Thu,%2014%20Mar%202024%2009:47:12%20GMT	http://galerisurautanahwakaf.blogspot.com/robots.txt		(from )
11:38:02	62184/62184	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2009:47:12%20GMT	http://galerisurautanahwakaf.blogspot.com/2015/01/biodata-ustaz-abdullah-khairy-bin-hj.html	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Galeri%20surau%20tanah%20waqaf/galerisurautanahwakaf.blogspot.com/2015/01/biodata-ustaz-abdullah-khairy-bin-hj.html	(from http://galerisurautanahwakaf.blogspot.com/2015/01/biodata-ustaz-abdullah-khairy-bin-hj.html?m=1)
11:38:02	20430/20430	---M--	200	added ('OK')	text/css	date:Sat,%2018%20May%202024%2021:50:28%20GMT	https://www.blogger.com/static/v1/widgets/1539816172-widget_css_mobile_2_bundle.css	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Galeri%20surau%20tanah%20waqaf/www.blogger.com/static/v1/widgets/1539816172-widget_css_mobile_2_bundle.css	(from http://galerisurautanahwakaf.blogspot.com/2015/01/biodata-ustaz-abdullah-khairy-bin-hj.html?m=1)
11:38:02	95/95	---M--	200	added ('OK')	image/png	date:Tue,%2014%20May%202024%2022:54:02%20GMT	https://resources.blogblog.com/blogblog/data/1kt/simple/body_gradient_tile_light.png	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Galeri%20surau%20tanah%20waqaf/resources.blogblog.com/blogblog/data/1kt/simple/body_gradient_tile_light.png	(from http://galerisurautanahwakaf.blogspot.com/2015/01/biodata-ustaz-abdullah-khairy-bin-hj.html?m=1)
11:38:02	403/403	---M--	200	added ('OK')	image/png	date:Tue,%2014%20May%202024%2015:55:11%20GMT	https://resources.blogblog.com/blogblog/data/1kt/simple/gradients_light.png	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Galeri%20surau%20tanah%20waqaf/resources.blogblog.com/blogblog/data/1kt/simple/gradients_light.png	(from http://galerisurautanahwakaf.blogspot.com/2015/01/biodata-ustaz-abdullah-khairy-bin-hj.html?m=1)
11:38:03	47/47	---M--	200	added ('OK')	text/javascript	etag:13036835877489095579	http://pagead2.googlesyndication.com/pagead/js/google_top_exp.js	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Galeri%20surau%20tanah%20waqaf/pagead2.googlesyndication.com/pagead/js/f.txt	(from http://galerisurautanahwakaf.blogspot.com/2015/01/biodata-ustaz-abdullah-khairy-bin-hj.html?m=1)
11:38:03	1/1	---MC-	200	added ('OK')	text/css	date:Tue,%2021%20May%202024%2003:38:04%20GMT	https://www.blogger.com/dyn-css/authorization.css?targetBlogID=7890842496391818129&zx=b6554a82-5d30-4ab0-96fc-170a534fd6c4	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Galeri%20surau%20tanah%20waqaf/www.blogger.com/dyn-css/authorization8723.css	(from http://galerisurautanahwakaf.blogspot.com/2015/01/biodata-ustaz-abdullah-khairy-bin-hj.html?m=1)
11:38:04	22820/22820	---M--	200	added ('OK')	image/jpeg	etag:%22v339%22	http://4.bp.blogspot.com/-MV6YQpmlyKE/T-_hVitY6dI/AAAAAAAAAzk/ColWx4x5Mwc/s400/webiste-header-01.jpg	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Galeri%20surau%20tanah%20waqaf/4.bp.blogspot.com/-MV6YQpmlyKE/T-_hVitY6dI/AAAAAAAAAzk/ColWx4x5Mwc/s400/webiste-header-01.jpg	(from http://galerisurautanahwakaf.blogspot.com/2015/01/biodata-ustaz-abdullah-khairy-bin-hj.html?m=1)
11:38:04	2531/2531	---M--	200	added ('OK')	image/png	date:Wed,%2015%20May%202024%2007:50:37%20GMT	http://www.blogger.com/img/blogger_logo_round_35.png	C:/Koleksi%20Ustaz%20Abdullah%20Khairi/Galeri%20surau%20tanah%20waqaf/www.blogger.com/img/blogger_logo_round_35.png	(from http://galerisurautanahwakaf.blogspot.com/2015/01/biodata-ustaz-abdullah-khairy-bin-hj.html?m=1)
